"County","State","Outbreak Date","Flock Type","Flock Size"
"Lamoure","North Dakota","11-15-2023","Commercial Turkey Meat Bird","25100"
"Edmunds","South Dakota","11-15-2023","Commercial Turkey Breeder Replacement Hens","24500"
"Duval","Florida","11-15-2022","WOAH Non-Poultry","30"
"Otter Tail","Minnesota","11-15-2022","Commercial Turkey Meat Bird","28200"
"Bledsoe","Tennessee","11-15-2022","Commercial Broiler Breeder","20900"
"Kossuth","Iowa","11-14-2023","WOAH Poultry","13000"
"Jasper","Missouri","11-14-2023","Commercial Turkey Meat Bird","29300"
"Cerro Gordo","Iowa","11-14-2023","WOAH Non-Poultry","80"
"Jones","Iowa","11-14-2023","WOAH Non-Poultry","20"
"Kandiyohi","Minnesota","11-14-2023","Commercial Turkey Meat Bird","35600"
"Taylor","Iowa","11-14-2023","Commercial Table Egg Layer","1121100"
"Redwood","Minnesota","11-14-2023","Commercial Turkey Meat Bird","18700"
"Ellis","Texas","11-14-2023","WOAH Non-Poultry","50"
"Marion","Oregon","11-14-2023","WOAH Non-Poultry","5"
"Missoula","Montana","11-14-2023","WOAH Non-Poultry","4"
"Deschutes","Oregon","11-14-2023","WOAH Non-Poultry","30"
"Lowndes","Mississippi","11-14-2022","WOAH Non-Poultry","8"
"Mcintosh","North Dakota","11-13-2023","WOAH Non-Poultry","50"
"Bonneville","Idaho","11-13-2023","WOAH Non-Poultry","50"
"Montrose","Colorado","11-13-2023","WOAH Non-Poultry","50"
"Queens","New York","11-12-2022","Live Bird Market","170"
"Lapeer","Michigan","11-10-2022","WOAH Poultry","990"
"Mountrail","North Dakota","11-10-2022","WOAH Non-Poultry","40"
"Ward","North Dakota","11-10-2022","WOAH Poultry","20"
"Lehigh","Pennsylvania","11-10-2022","Commercial Turkey Breeder Toms","160"
"Lehigh","Pennsylvania","11-10-2022","Commercial Turkey Meat Bird","18500"
"Roberts","South Dakota","11-09-2023","Commercial Turkey Meat Bird","51200"
"Wheatland","Montana","11-09-2023","WOAH Poultry","4500"
"Redwood","Minnesota","11-09-2023","Commercial Turkey Meat Bird","18500"
"Sweet Grass","Montana","11-09-2023","WOAH Non-Poultry","3"
"Steele","Minnesota","11-09-2023","Commercial Turkey Meat Bird","46900"
"Mcpherson","South Dakota","11-09-2023","Commercial Turkey Meat Bird","58400"
"Kossuth","Iowa","11-08-2023","WOAH Poultry","8200"
"Clark","South Dakota","11-08-2023","Commercial Upland Gamebird Producer","8500"
"Matanuska Susitna","Alaska","11-08-2023","WOAH Non-Poultry","40"
"Charles Mix","South Dakota","11-08-2023","Commercial Turkey Meat Bird","74100"
"Utah","Utah","11-08-2023","WOAH Non-Poultry","60"
"Louisa","Iowa","11-08-2022","WOAH Non-Poultry","20"
"Snohomish","Washington","11-08-2022","WOAH Non-Poultry","150"
"Lehigh","Pennsylvania","11-08-2022","Commercial Turkey Breeder Hens","7500"
"Lehigh","Pennsylvania","11-08-2022","Commercial Turkey Meat Bird","17400"
"Stearns","Minnesota","11-07-2023","Commercial Turkey Meat Bird","70900"
"Jefferson","Wisconsin","11-07-2022","Commercial Upland Gamebird Producer","187900"
"Converse","Wyoming","11-07-2022","WOAH Non-Poultry","20"
"Butler","Ohio","11-07-2022","WOAH Poultry","150"
"Gloucester","Virginia","11-07-2022","WOAH Non-Poultry","80"
"Clay","Iowa","11-06-2023","WOAH Poultry","1700"
"Benton","Missouri","11-06-2023","Commercial Broiler Breeder","16600"
"Hamilton","Iowa","11-06-2023","Commercial Breeder (Multiple Bird Species)","15000"
"Wright","Iowa","11-06-2022","Commercial Table Egg Layer","1022800"
"Lehigh","Pennsylvania","11-04-2022","Commercial Turkey Meat Bird","14500"
"Sullivan","New York","11-04-2022","WOAH Non-Poultry","140"
"Dauphin","Pennsylvania","11-04-2022","WOAH Non-Poultry","130"
"Lawrence","Mississippi","11-04-2022","Commercial Broiler Breeder","34400"
"Mcpherson","South Dakota","11-03-2023","Commercial Turkey Breeder Hens","26800"
"Clay","Iowa","11-03-2023","WOAH Poultry","8300"
"Wright","Minnesota","11-03-2023","Commercial Table Egg Layer","940000"
"Clay","Iowa","11-03-2023","WOAH Poultry","7700"
"Yamhill","Oregon","11-03-2022","WOAH Poultry","150"
"San Diego","California","11-03-2022","WOAH Poultry","150"
"Yavapai","Arizona","11-03-2022","WOAH Non-Poultry","30"
"Beaufort","South Carolina","11-03-2022","WOAH Non-Poultry","170"
"Bottineau","North Dakota","11-03-2022","WOAH Poultry","130"
"Lehigh","Pennsylvania","11-03-2022","Commercial Turkey Meat Bird","28500"
"Broward","Florida","11-03-2022","WOAH Non-Poultry","70"
"Marathon","Wisconsin","11-03-2022","WOAH Non-Poultry","30"
"Middlesex","Massachusetts","11-03-2022","WOAH Non-Poultry","20"
"Grady","Oklahoma","11-02-2023","WOAH Non-Poultry","120"
"Marshall","Alabama","11-02-2023","Commercial Broiler Breeder Pullets","47900"
"Bergen","New Jersey","11-02-2022","WOAH Non-Poultry","60"
"Allegheny","Pennsylvania","11-02-2022","WOAH Non-Poultry","20"
"Waukesha","Wisconsin","11-02-2022","WOAH Non-Poultry","10"
"Yavapai","Arizona","11-02-2022","WOAH Non-Poultry","50"
"Buena Vista","Iowa","11-01-2023","Commercial Turkey Meat Bird","30000"
"Gregory","South Dakota","11-01-2022","Commercial Upland Gamebird Producer","3000"
"Stearns","Minnesota","11-01-2022","Commercial Turkey Meat Bird","8500"
"Wayne","New York","11-01-2022","WOAH Non-Poultry","10"
"Granite","Montana","11-01-2022","WOAH Poultry","40"
"Deschutes","Oregon","11-01-2022","WOAH Non-Poultry","8"
"Beadle","South Dakota","10-31-2023","Commercial Turkey Meat Bird","29700"
"Madison","Arkansas","10-31-2023","Commercial Broiler Breeder Pullets","31600"
"Wagoner","Oklahoma","10-31-2023","WOAH Non-Poultry","50"
"Meeker","Minnesota","10-31-2023","Commercial Turkey Meat Bird","32100"
"Lincoln","Tennessee","10-31-2023","WOAH Non-Poultry","100"
"Wright","Iowa","10-31-2022","Commercial Table Egg Layer","1100000"
"Swift","Minnesota","10-31-2022","Commercial Turkey Meat Bird","45600"
"Tipton","Tennessee","10-31-2022","WOAH Non-Poultry","90"
"Matanuska Susitna","Alaska","10-28-2023","WOAH Non-Poultry","30"
"Matanuska Susitna","Alaska","10-28-2023","WOAH Non-Poultry","50"
"Hillsborough","Florida","10-28-2022","WOAH Non-Poultry","40"
"Chilton","Alabama","10-27-2023","Commercial Upland Gamebird Producer","306500"
"Kittitas","Washington","10-27-2023","WOAH Poultry","70"
"Stearns","Minnesota","10-27-2022","Commercial Turkey Meat Bird","75000"
"Le Sueur","Minnesota","10-27-2022","Commercial Turkey Meat Bird","20100"
"Merced","California","10-26-2023","Commercial Turkey Meat Bird","31600"
"Pasco","Florida","10-26-2022","WOAH Non-Poultry","40"
"La Plata","Colorado","10-26-2022","WOAH Non-Poultry","20"
"Pine","Minnesota","10-25-2023","WOAH Non-Poultry","30"
"Union","Oregon","10-25-2023","WOAH Non-Poultry","30"
"Brown","Minnesota","10-25-2023","WOAH Non-Poultry","20"
"Meeker","Minnesota","10-25-2023","Commercial Turkey Meat Bird","33000"
"Beadle","South Dakota","10-25-2023","Commercial Turkey Meat Bird","51100"
"Clark","South Dakota","10-25-2023","Commercial Turkey Meat Bird","31100"
"Hanson","South Dakota","10-25-2023","Commercial Turkey Meat Bird","13400"
"Indian River","Florida","10-25-2022","WOAH Poultry","50"
"Swift","Minnesota","10-25-2022","Commercial Turkey Meat Bird","33800"
"Grant","South Dakota","10-25-2022","WOAH Non-Poultry","50"
"Lake","Florida","10-25-2022","WOAH Non-Poultry","9"
"Martin","Florida","10-25-2022","WOAH Non-Poultry","30"
"Indian River","Florida","10-25-2022","WOAH Non-Poultry","30"
"Sanpete","Utah","10-25-2022","Commercial Turkey Meat Bird","3900"
"Blue Earth","Minnesota","10-24-2023","Commercial Turkey Meat Bird","11900"
"Guthrie","Iowa","10-24-2023","WOAH Non-Poultry","50"
"Kandiyohi","Minnesota","10-24-2023","Commercial Turkey Meat Bird","53700"
"Pocahontas","Iowa","10-24-2023","Commercial Turkey Meat Bird","50000"
"Buena Vista","Iowa","10-23-2023","Commercial Turkey Meat Bird","49100"
"Ocean","New Jersey","10-22-2022","WOAH Non-Poultry","90"
"Southampton","Virginia","10-22-2022","WOAH Non-Poultry","170"
"Cleveland","Oklahoma","10-21-2022","WOAH Non-Poultry","30"
"Wake","North Carolina","10-21-2022","WOAH Non-Poultry","170"
"Itasca","Minnesota","10-21-2022","WOAH Non-Poultry","40"
"Union","Oregon","10-20-2023","WOAH Poultry","100"
"Spink","South Dakota","10-20-2022","WOAH Non-Poultry","160"
"Valley","Idaho","10-20-2022","WOAH Non-Poultry","20"
"Indian River","Florida","10-20-2022","WOAH Non-Poultry","60"
"Hill","Montana","10-20-2022","WOAH Non-Poultry","60"
"Jefferson","Colorado","10-20-2022","WOAH Poultry","50"
"Okeechobee","Florida","10-20-2022","WOAH Non-Poultry","2"
"Creek","Oklahoma","10-20-2022","WOAH Non-Poultry","50"
"Dallas","Iowa","10-20-2022","WOAH Non-Poultry","50"
"Virginia Beach City","Virginia","10-20-2022","WOAH Non-Poultry","10"
"Newport","Rhode Island","10-20-2022","WOAH Non-Poultry","60"
"Becker","Minnesota","10-19-2023","Commercial Breeder Operation","20200"
"Park","Montana","10-19-2023","WOAH Non-Poultry","3"
"Spink","South Dakota","10-19-2023","Commercial Turkey Meat Bird","34000"
"Shawnee","Kansas","10-19-2022","WOAH Poultry","120"
"Roberts","South Dakota","10-19-2022","Commercial Breeder Operation","3600"
"Sanpete","Utah","10-19-2022","Commercial Turkey Meat Bird","9400"
"Rockwall","Texas","10-19-2022","WOAH Non-Poultry","50"
"Redwood","Minnesota","10-18-2023","Commercial Turkey Meat Bird","8900"
"Blue Earth","Minnesota","10-18-2023","Commercial Turkey Meat Bird","11500"
"Sanpete","Utah","10-18-2022","Commercial Turkey Meat Bird","100800"
"Traill","North Dakota","10-18-2022","WOAH Non-Poultry","90"
"Indian River","Florida","10-18-2022","WOAH Non-Poultry","300"
"Jackson","Missouri","10-18-2022","WOAH Non-Poultry","40"
"York","Nebraska","10-18-2022","Commercial Upland Gamebird Producer","34900"
"St. Lucie","Florida","10-18-2022","WOAH Non-Poultry","6"
"Osceola","Florida","10-18-2022","WOAH Non-Poultry","20"
"Mcpherson","South Dakota","10-17-2023","Commercial Turkey Meat Bird","65000"
"King","Washington","10-17-2023","WOAH Non-Poultry","10"
"Becker","Minnesota","10-17-2023","Commercial Turkey Breeder Toms","2700"
"Faulk","South Dakota","10-17-2023","Commercial Turkey Meat Bird","49700"
"Nye","Nevada","10-17-2022","WOAH Poultry","1600"
"Adams","Pennsylvania","10-17-2022","Commercial Turkey Meat Bird","15100"
"Carter","Oklahoma","10-16-2023","WOAH Non-Poultry","80"
"Tulsa","Oklahoma","10-14-2022","WOAH Non-Poultry","30"
"Broward","Florida","10-14-2022","WOAH Poultry","300"
"Larimer","Colorado","10-14-2022","WOAH Non-Poultry","20"
"Matanuska Susitna","Alaska","10-14-2022","WOAH Poultry","1000"
"Pope","Arkansas","10-14-2022","WOAH Non-Poultry","470"
"La Plata","Colorado","10-14-2022","WOAH Non-Poultry","40"
"Flathead","Montana","10-13-2023","WOAH Non-Poultry","8"
"Golden Valley","North Dakota","10-13-2023","WOAH Non-Poultry","90"
"Meeker","Minnesota","10-13-2023","Commercial Turkey Meat Bird","71000"
"Warren","New Jersey","10-13-2022","WOAH Non-Poultry","6"
"Stanislaus","California","10-13-2022","Commercial Turkey Meat Bird","54900"
"Sanpete","Utah","10-13-2022","Commercial Turkey Meat Bird","100000"
